path	branch	head	dirty_entries	ignored_evidence_files	node_modules	node_modules_kind	node_modules_target	dist_dirs	has_public	has_artifacts	has_test_results	merged_into_ship	structural_size_class
C:/Users/david/projects/aa-claude-arms	contrib/dave-gaming-pc/claude/hf413-arms-animations	fce720d8	0	278	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	0	yes	yes	no	no	C_installed_nodist
C:/Users/david/projects/aa-claude-bus	contrib/dave-gaming-pc/claude/bus-doors-interior	75a4e508	0	55	no	-	-	0	yes	no	no	yes	D_noinstall_dist
C:/Users/david/projects/aa-claude-chopper	contrib/dave-gaming-pc/claude/hf401-chopper-pilot	6e00ce7e	0	26	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-claude-corpus	contrib/dave-gaming-pc/claude/qa-corpus-streamline	462b5687	8	106	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-claude-dropshot	contrib/dave-gaming-pc/claude/hf412-drop-shot	bd68c82b	0	95	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-claude-eyeclear	contrib/dave-gaming-pc/claude/eye-clearance-triage	7b05a660	6	134	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-claude-gamepad	contrib/dave-gaming-pc/claude/gamepad-aim-assist	a49d92d4	0	20	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/aa-claude-hf395	contrib/dave-gaming-pc/claude/hf395-396-viewmodel	f9c6379b	0	212	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-claude-hf399	contrib/dave-gaming-pc/claude/hf399-fps-regression	b0deba94	0	342	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	4	yes	yes	no	yes	A_installed_multidist
C:/Users/david/projects/aa-claude-hf402	contrib/dave-gaming-pc/claude/hf402-spawn-layouts	a3f55846	0	116	yes	link	/c/Users/david/projects/aa-omp-pass83/node_modules	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/aa-claude-ibl	contrib/dave-gaming-pc/claude/ibl-first-arena	683f28aa	0	211	yes	real	-	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-claude-loadcut	contrib/dave-gaming-pc/claude/load-time-deep-cut	b082bc83	4	60	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-claude-mplab	contrib/dave-gaming-pc/claude/hf403-mp-lab	05d15810	0	178	yes	real	-	1	yes	yes	no	yes	B_installed_onedist
C:/Users/david/projects/aa-claude-nuketown	contrib/dave-gaming-pc/claude/nuketown-rejig	8d74618e	0	371	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-claude-parity	contrib/dave-gaming-pc/claude/hf411-walkable-parity	a105c944	0	77	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	1	yes	yes	no	no	B_installed_onedist
C:/Users/david/projects/aa-claude-raid	contrib/dave-gaming-pc/claude/raid-art-pass	75a4e508	0	55	no	-	-	0	yes	no	no	yes	D_noinstall_dist
C:/Users/david/projects/aa-claude-release84	contrib/dave-gaming-pc/claude/pass84-release-prep	9da6a1bf	0	36	yes	link	/c/Users/david/projects/aa-omp-pass84/node_modules	0	yes	yes	no	yes	C_installed_nodist
